source,id,year,title,doi,language,url
MED,42581620,2026,Artificial Intelligence-Based Multimodal Ultrasound Model for Prediction of Spontaneous Preterm Birth: Development and Validation.,10.1002/jum.70412,eng,https://pubmed.ncbi.nlm.nih.gov/42581620/
MED,42196906,2026,"Artificial Intelligence in Cervical Cytology: Opportunities and Limitations in Screening, Triage, and Diagnostic Support.",10.3390/diagnostics16101541,eng,https://pubmed.ncbi.nlm.nih.gov/42196906/
PPR,PPR1234217,2026,Artificial intelligence integrating diagnostic clinical feature recognition for cervical lesion diagnosis and biopsy position locating under colposcopy,10.21203/rs.3.rs-9524291/v1,,https://europepmc.org/article/PPR/PPR1234217
MED,42122280,2026,Artificial Intelligence-Assisted Colposcopy: Deep Learning Multi-Class Segmentation of Anatomical Structures and Pathological Findings for Cervical Cancer Screening.,10.3390/cancers18091485,eng,https://pubmed.ncbi.nlm.nih.gov/42122280/
MED,42566440,2026,Diagnostic performance of artificial intelligence models trained on scattered single-cell images is not preserved for hyperchromatic crowded cell groups in cervical cytology.,10.1002/cncy.70140,eng,https://pubmed.ncbi.nlm.nih.gov/42566440/
MED,42343867,2026,Artificial intelligence in cervical cancer screening and triage: a role-stratified systematic review and bivariate meta-analysis.,10.1097/cco.0000000000001255,eng,https://pubmed.ncbi.nlm.nih.gov/42343867/
MED,41589749,2026,Higher Diagnostic Accuracy of an AI Model for Colposcopy Compared With Conventional and Digital Colposcopic Evaluation.,10.1097/lgt.0000000000000931,eng,https://pubmed.ncbi.nlm.nih.gov/41589749/
MED,42368966,2026,CITOBOT AI for real-world cervical cancer screening using colposcopy imaging.,10.3389/fpubh.2026.1802494,eng,https://pubmed.ncbi.nlm.nih.gov/42368966/
MED,41975688,2026,Predictive Value of Positive Endocervical Curettage Results Obtained During Colposcopy.,10.3390/diagnostics16070976,eng,https://pubmed.ncbi.nlm.nih.gov/41975688/
MED,42523012,2026,An explainable machine learning approach for cervical cancer screening: decoding morphological diagnostic drivers.,10.1080/17843286.2026.2711062,eng,https://pubmed.ncbi.nlm.nih.gov/42523012/
MED,42204023,2026,MMTC-Net: Multimodal Temporal Cervical Network for HSIL+ Recognition in Precancer Screening.,10.1007/s10278-026-02004-z,eng,https://pubmed.ncbi.nlm.nih.gov/42204023/
MED,42369264,2026,Artificial Intelligence Colposcopy Models for Cervical Cancer Screening and Diagnosis: A Systematic Review and Meta-Analysis.,10.1007/s13224-026-02352-4,eng,https://pubmed.ncbi.nlm.nih.gov/42369264/
MED,41316410,2025,"Artificial intelligence-driven screening, early diagnosis, and treatment strategies for cervical cancer: an overview.",10.1186/s13027-025-00716-5,eng,https://pubmed.ncbi.nlm.nih.gov/41316410/
MED,41028901,2026,Commercially Available Artificial Intelligence Solutions for Gynaecologic Cytology Screening and Their Integration Into Clinical Workflow.,10.1111/cyt.70023,eng,https://pubmed.ncbi.nlm.nih.gov/41028901/
PPR,PPR1182717,2026,Smart Scope® CX AI-enabled Test for Detection of Pre-Cancerous Lesions of the Cervix in Primary Screening: A Comparison with Cytology and VIA-VILI,10.21203/rs.3.rs-9150646/v1,,https://europepmc.org/article/PPR/PPR1182717
MED,41386246,2026,"Performance of an artificial intelligence-based tool for cervical precancer screening in five countries in Africa: a prospective, observational, diagnostic accuracy study.",10.1016/s2214-109x(25)00352-3,eng,https://pubmed.ncbi.nlm.nih.gov/41386246/
MED,42663198,2026,Enhanced Diagnosis of Cervical Cancer Using Archer Fish Hunting Optimizer-Optimized Xception Network with AI Interpretability via Grad-CAM.,10.31557/apjcp.2026.27.8.2783,eng,https://pubmed.ncbi.nlm.nih.gov/42663198/
MED,41053665,2025,AI-Driven predictive modeling of cervical intraepithelial neoplasia severity: a comprehensive analysis with clinical adoption frameworks.,10.1186/s12885-025-14974-4,eng,https://pubmed.ncbi.nlm.nih.gov/41053665/
MED,41341935,2025,Advances in artificial intelligence for the early detection of cervical cancer in adult women: a scoping review.,10.61622/rbgo/2025rbgo76,eng,https://pubmed.ncbi.nlm.nih.gov/41341935/
MED,42102630,2026,Multi-center-validated machine learning model for cervical cancer based on human papillomavirus genotyping results.,10.1016/j.ijgc.2025.102855,eng,https://pubmed.ncbi.nlm.nih.gov/42102630/
MED,41852843,2026,A multi-magnification digital colposcopy image datasets for cervical cancer screening in Nigeria.,10.1016/j.dib.2026.112633,eng,https://pubmed.ncbi.nlm.nih.gov/41852843/
MED,41550300,2025,"Application of artificial intelligence in cervical cytology: a systematic review of deep learning models, datasets, and reported metrics.",10.3389/fdata.2025.1678863,eng,https://pubmed.ncbi.nlm.nih.gov/41550300/
MED,42380812,2026,Artificial intelligence for cervical cancer screening and diagnosis using Pap smear images: a systematic review.,10.1186/s12885-026-16427-y,eng,https://pubmed.ncbi.nlm.nih.gov/42380812/
MED,42666167,2026,Correlation between atypical squamous cells-cannot exclude high-grade squamous intraepithelial lesion and cervical lesions: a retrospective analysis of opportunistic and organized cervical screening populations.,10.3389/fonc.2026.1926183,eng,https://pubmed.ncbi.nlm.nih.gov/42666167/
MED,41377864,2025,Construction and Validation of a Model for Predicting Cervical Intraepithelial Neoplasia Grade II+: A Cross-Sectional Population Study via Machine Learning.,10.2147/ijwh.s554552,eng,https://pubmed.ncbi.nlm.nih.gov/41377864/
MED,41072569,2026,Cervical cancer diagnostics: non-coding RNAs and biosensors to AI-derived methods.,10.1016/j.cca.2025.120641,eng,https://pubmed.ncbi.nlm.nih.gov/41072569/
MED,41006527,2025,Automated detection and classification of cervical and anal squamous cancer precursors using deep learning and multidevice colposcopy.,10.1038/s41598-025-14514-x,eng,https://pubmed.ncbi.nlm.nih.gov/41006527/
PPR,PPR1208952,2026,The predictive value of neural network models and random forest models for the classification of cervical intraepithelial lesions based on gene methylation and HPV infection genotype,10.21203/rs.3.rs-9365221/v1,,https://europepmc.org/article/PPR/PPR1208952
MED,41640440,2025,"Transforming cervical cancer pathological diagnosis through artificial intelligence: progress, performance, and barriers to clinical implementation.",10.3389/fonc.2025.1716018,eng,https://pubmed.ncbi.nlm.nih.gov/41640440/
MED,42046894,2026,Advances in Digital Cytopathology and Artificial Intelligence Applications.,10.1097/pap.0000000000000529,eng,https://pubmed.ncbi.nlm.nih.gov/42046894/
MED,42527782,2026,CMB-Net: A Clinically Modulated Boundary-Aware Network for Anatomical Segmentation of the Cervical Transformation Zone in Colposcopy.,10.1007/s10278-026-02155-z,eng,https://pubmed.ncbi.nlm.nih.gov/42527782/
MED,40439417,2025,CervicalMethDx: A Precision DNA Methylation Test to Identify Risk of High-Grade Intraepithelial Lesions in Cervical Cancer Screening Algorithms.,10.1158/1940-6207.capr-25-0029,eng,https://pubmed.ncbi.nlm.nih.gov/40439417/
MED,42687827,2026,Quantitative morphometry of the cervix using deep learning and geometric area estimation techniques.,10.1002/ijgo.71333,eng,https://pubmed.ncbi.nlm.nih.gov/42687827/
MED,41031150,2025,A Systematic Review of the Application of Artificial Intelligence in Colposcopy: Diagnostic Accuracy for Cervical Intraepithelial Neoplasia and Cervical Cancer.,10.1177/11795549251374908,eng,https://pubmed.ncbi.nlm.nih.gov/41031150/
MED,41719365,2026,AID-FGS: Artificial intelligence-enabled diagnosis of female genital schistosomiasis: Preliminary findings.,10.1371/journal.pdig.0001255,eng,https://pubmed.ncbi.nlm.nih.gov/41719365/
MED,42694624,2026,Research progress on HPV-related vaginal wall lesions after hysterectomy.,10.3389/fonc.2026.1897256,eng,https://pubmed.ncbi.nlm.nih.gov/42694624/
MED,41984178,2026,Development and validation of a deep learning radiomics model for predicting adjacent segment degeneration following anterior cervical discectomy and fusion.,10.1007/s00586-026-09939-5,eng,https://pubmed.ncbi.nlm.nih.gov/41984178/
MED,42199989,2026,"Recent advancements in the application of artificial intelligence-based approaches for screening, diagnosis, prognosis and treatment of cervical cancer.",10.3389/or.2026.1760156,eng,https://pubmed.ncbi.nlm.nih.gov/42199989/
PPR,PPR1116977,2025,"Artificial Intelligence in Cytological Diagnosis: A Narrative Review of Current Applications, Challenges, and Future Perspectives",10.1590/scielopreprints.13888,,https://europepmc.org/article/PPR/PPR1116977
PPR,PPR1241349,2026,"From Telehealth to Artificial Intelligence: Digital Health Technologies for Indigenous Communities—A Systematic Review of Diagnostic Access, Ethical Governance, and Sustainable Health Equity",10.20944/preprints202605.1978.v1,,https://europepmc.org/article/PPR/PPR1241349
MED,41966523,2026,Comprehensive Assessment of Artificial Intelligence as a Stand-Alone Tool for Cervical Cancer Screening Using a 50% Negative Cutoff Value.,10.1016/j.labinv.2026.106126,eng,https://pubmed.ncbi.nlm.nih.gov/41966523/
MED,42487758,2026,A novel interpretable machine learning framework for predicting postpartum depression: a SHAP-based analysis of maternal and infant health indicators.,10.3389/fpsyt.2026.1888858,eng,https://pubmed.ncbi.nlm.nih.gov/42487758/
MED,41799691,2026,High-Risk Clinical Characteristics and Risk Model for Unexpected Cervical Cancer Diagnosed After Surgery in Patients with LSIL/HSIL Biopsy.,10.2147/ijwh.s584455,eng,https://pubmed.ncbi.nlm.nih.gov/41799691/
MED,42140194,2026,Artificial intelligence-driven integration of multi-biofluid omics and clinical phenotype enables stratification of endometrial cancer.,10.1016/j.xcrm.2026.102805,eng,https://pubmed.ncbi.nlm.nih.gov/42140194/
MED,42124807,2026,A Prospective Study to Assess the Utility of Artificial Intelligence-driven Cervical Screening Using Smart Scope versus Conventional Method.,10.4103/jmh.jmh_170_25,eng,https://pubmed.ncbi.nlm.nih.gov/42124807/
PPR,PPR1198015,2026,Enhancing Colposcopic Diagnosis with Machine Learning: A Predictive Model for Five Cervical Lesions in China’s Largest Women’s Hospital,10.22541/au.177096612.23303246/v1,,https://europepmc.org/article/PPR/PPR1198015
MED,42741336,2026,Digital tools to enhance adherence to cervical cancer prevention practices: systematic review.,10.3389/fpubh.2026.1851751,eng,https://pubmed.ncbi.nlm.nih.gov/42741336/
MED,40627254,2025,Progress in the application research of cervical cancer screening developed by artificial intelligence in large populations.,10.1007/s12672-025-03102-0,eng,https://pubmed.ncbi.nlm.nih.gov/40627254/
MED,41827337,2026,Artificial Intelligence Methods in Cephalometric Image Analysis-A Systematic Narrative Review.,10.3390/jcm15051920,eng,https://pubmed.ncbi.nlm.nih.gov/41827337/
MED,42157736,2026,AI for cervical cancer screening on whole slide images: opportunities with open-source simple tools.,10.32074/1591-951x-1763,eng,https://pubmed.ncbi.nlm.nih.gov/42157736/
